Designator,Footprint,Quantity,Value,LCSC Part #
C1,SOIC127P600X175-8N,1,10uF,
"C10, C13, C20, C23, C24",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,5,100n,
"C11, C12, C21, C22",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4,22u 10V,
"C14, C15, C2",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,3,0.1uF,
"C16, C17, C18, C5, C6, C7, C8",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,7,10u,
"C19, C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,2.7n,
C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,47uF,
C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,4.7uF,
D1,SESD0402X1UN0020090,1,SESD0402X1UN-0020-090,
D2,OVLEW1CB9,1,OVLEW1CB9,
D3,DIOM4336X265N,1,SMBJ26A,
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,0.5A,
F2,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,4A,
F3,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,3.2A,
F4,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,10A,
FB1,L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,1,150uH,
IC1,SOIC127P600X175-8N,1,"P82B96TD,118",
IC2,SOT95P285X140-6N,1,DMMT5401-7-F,
"J1, J2, J3",TerminalBlock_Altech_AK300-4_P5.00mm,3,Screw_Terminal_01x04,
"J10, J8",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"J11, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x05_Male,
J4,TerminalBlock_Altech_AK300-2_P5.00mm,1,Screw_Terminal_01x02,
J5,BarrelJack_Wuerth_6941xx301002,1,Jack-DC 12V+,
J6,JST_SM04B-SRSS-TB(LF)(SN),1,SM04B-SRSS-TB(LF)(SN),
J7,MODULE_RASPBERRY_PI_3_MODEL_B+,1,RASPBERRYPI-40-PIN-GPIO,
L1,L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,1,4.7uH,
"L2, L3",L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,2,15u,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Fan,
PE1,TerminalBlock_Altech_AK300-2_P5.00mm,1,PeltierElement,
PS1,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_2-2433,
"Q1, Q2",IRL540SPBF,2,IRL540SPBF,
Q3,SOT91P240X110-3N_DMG2305UX-7,1,DMG2305UX-7,
R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,0.2,
"R10, R11, R14, R16, R4, R5, R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,7,10k,
R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,47K,
"R13, R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,178k,
"R15, R7",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,24k,
"R17, R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2,1k87,
R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,5.1,
R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,1.20KOHM-0603-1_10W-1%,
U1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8870DDA,
U2,SOT65P210X110-5N,1,TPS61169DCKR,
"U3, U4, U6",TMC2208_SILENTSTEPSTICK,3,TMC2208_SILENTSTEPSTICK,
"U5, U8",SOIC127P599X175-9N,2,RT7272AGSP,
U7,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,DRV8838,
