Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5, C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,10uF 50V,C17024
C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100nF 25V,C531179
"C14, C15, C2, C22, C23, C24, C25, C26",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,100nF 50V,C531179
"C16, C17, C18",CP_Elec_8x10,3,100uF 50V,C445063
C3,CP_Elec_6.3x5.4,1,47uF 50V,C72522
C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,22uF 25V,
"D1, D4",SOD2512X110N,2,ESD7351HT1G,
D2,1808190,1,OVLEW1CB9,
D3,DIOM5436X261N,1,SMBJ26A,C10216
D7,SOD2512X110N,1,SS310,
F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,8A,C140473
"F2, F3",Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,5A,C182986
F4,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,4A,C178929
FB1,L_1206_3216Metric_Pad1.22x1.90mm_HandSolder,1,150uH,C250237
IC1,SOT95P280X145-6N,1,BCR420UW6-7,
IC2,SOT95P280X145-6N,1,BCM53DS,
"J1, J2, J3",1778780,3,1778780,C5173835
J10,PinHeader_2x20_P2.54mm_Vertical_SMD,1,GPIO,
J11,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,x
"J4, J7, J8",1808190,3,Screw_Terminal_01x02,
J5,BarrelJack_Wuerth_6941xx301002,1,Jack-DC 12V+,
J6,JST_SM04B-SRSS-TB(LF)(SN),1,SM04B-SRSS-TB(LF)(SN),C160404
J9,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Male,x
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ID_WP,x
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
"JP3, JP4, JP5",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels,3,Jumper_3_Open,x
L1,L_Bourns-SRU8028_8.0x8.0mm,1,68uH,
M1,1808190,1,Fan,
PE1,1808190,1,PeltierElement,
"Q1, Q2, Q4, Q5",SOT-23,4,PMV15ENE,
Q3,SOT-23,1,DMG2305UX-7,C2940629
Q6,SOT-323_SC-70_Handsoldering,1,2N70002HWX,C3647053
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,0.2,
"R11, R13, R29, R30, R33, R34",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6,10k,C5140188
R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,47K,C102018
"R14, R27, R28, R31, R32",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5,1k,C17414
R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,30,C3016603
"R18, R19",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,3.9k,C2907252
R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,680,
"R20, R21, R22, R23, R24, R25",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6,22k,C114565
R3,1808190,1,10W resistor,x
R6,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,220,
U1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8870DDA,
"U2, U8",SOT230P700X180-4N,2,TLV1117-33,C37359
"U3, U4, U6",MODULE_TMC2208_SILENTSTEPSTICK,3,TMC2208_Carrier,
U5,TO-263-5_TabPin3,1,LM2596S-ADJ,
U7,DRV8838 POLOLU,1,DRV8838 POLOLU,
U9,SOIC127P600X175-8N,1,CAT24C256,
