Designator,Mid X,Mid Y,Rotation,Layer
C13,146.25,-100.0,90.0,bottom
C14,146.0,-73.25,-90.0,bottom
C15,153.0,-104.75,0.0,bottom
C16,145.5,-81.0,0.0,top
C17,122.1667,-81.0,0.0,top
C18,133.8333,-81.0,0.0,top
C19,158.25,-92.0,90.0,bottom
C2,126.4,-74.1,0.0,bottom
C22,113.5,-94.0,-90.0,bottom
C23,113.5,-109.75,-90.0,bottom
C25,126.4,-72.035,180.0,bottom
C26,148.5,-73.25,90.0,bottom
C3,131.2,-90.4,0.0,top
C4,113.5,-125.5,-90.0,bottom
C5,110.5,-81.0,0.0,top
C6,153.25,-107.9,0.0,bottom
C7,142.8,-90.4,0.0,top
D1,159.75,-109.75,90.0,bottom
D2,155.6,-80.15,90.0,top
D3,150.0,-114.25,180.0,bottom
D4,159.75,-105.05,90.0,bottom
D5,147.5,-106.0,-90.0,bottom
D6,121.6,-69.2,180.0,bottom
D7,99.0,-75.2,90.0,bottom
F1,155.7,-113.75,90.0,bottom
F2,131.0,-72.0,-90.0,bottom
F3,106.25,-72.2625,90.0,bottom
F4,160.25,-80.5,90.0,bottom
F5,148.2,-92.0,90.0,bottom
IC2,142.5,-100.0,180.0,bottom
J1,101.2,-83.8,-90.0,top
J10,130.302,-80.533,-90.0,bottom
J11,126.675,-130.975,90.0,top
J2,101.2,-101.4,-90.0,top
J3,101.2,-119.0,-90.0,top
J4,152.65,-74.4,180.0,top
J5,150.6,-118.65,0.0,top
J6,157.25,-106.2,90.0,top
J7,115.0,-74.4,180.0,top
J8,102.45,-74.4,180.0,top
J9,160.9,-124.675,180.0,top
L1,132.75,-119.253,180.0,top
M1,127.55,-74.4,180.0,top
PE1,140.1,-74.4,180.0,top
Q1,115.6,-72.4,90.0,bottom
Q2,117.5,-69.7375,90.0,bottom
Q3,142.2,-107.0,0.0,bottom
Q4,131.25,-90.5,90.0,bottom
Q5,102.6,-70.6,90.0,bottom
R1,134.4,-73.6,90.0,bottom
R11,138.0,-103.0,-90.0,bottom
R12,138.0,-107.75,-90.0,bottom
R18,147.9,-87.4,180.0,bottom
R19,143.65,-87.4,180.0,bottom
R2,158.25,-87.25,-90.0,bottom
R27,111.0,-73.6,0.0,bottom
R28,121.4,-73.4,0.0,bottom
R29,111.0,-71.4,180.0,bottom
R3,155.625,-93.2,90.0,top
R30,126.4,-70.0,180.0,bottom
R31,135.5,-87.0,0.0,bottom
R32,102.5,-77.0,0.0,bottom
R33,131.25,-87.0,180.0,bottom
R34,102.6,-74.4,180.0,bottom
R4,118.75,-93.75,0.0,bottom
R5,118.75,-91.35,180.0,bottom
R7,118.75,-96.15,180.0,bottom
U1,140.25,-70.0,180.0,bottom
U2,153.4,-89.6,90.0,bottom
U3,114.2,-93.8,-90.0,top
U4,114.197,-109.5965,-90.0,top
U5,144.6,-103.6,-90.0,top
U6,114.225,-125.35,-90.0,top
U7,131.0,-104.5,0.0,top
U8,155.5,-99.0,0.0,bottom
U9,141.0,-92.0,0.0,bottom
