"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C2682489","TCC0805X7R104M500DTS","CCTC","0805","","50V 100nF ±20% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","yes","100","100","0.0039","0.39","https://assets.lcsc.com/images/lcsc/96x96/20210105_CCTC-TCC0805X7R104M500DTS_C2682489_front.jpg"
"C4747967","RST100UF50V012","KNSCHA","SMD,D8xL10.5mm","","100uF 50V ±20% SMD,D8xL10.5mm  Aluminum Electrolytic Capacitors - SMD ROHS","yes","10","10","0.0667","0.67","https://assets.lcsc.com/images/lcsc/96x96/20220726_KNSCHA-RST100UF50V012_C4747967_front.jpg"
"C2992614","XT22UF50V90RV0083","KNSCHA","SMD,D6.3xL5.4mm","","22uF 50V SMD,D6.3xL5.4mm  Aluminum Electrolytic Capacitors - SMD ROHS","yes","20","20","0.0358","0.72","https://assets.lcsc.com/images/lcsc/96x96/20220628_KNSCHA-XT22UF50V90RV0083_C2992614_front.jpg"
"C2992613","XT47UF50V90RV0082","KNSCHA","SMD,D6.3xL7.7mm","","47uF 50V SMD,D6.3xL7.7mm  Aluminum Electrolytic Capacitors - SMD ROHS","yes","10","10","0.0388","0.39","https://assets.lcsc.com/images/lcsc/96x96/20220628_KNSCHA-XT47UF50V90RV0082_C2992613_front.jpg"
"C79987","CAT24C256WI-GT3","onsemi","SOIC-8_150mil",""," SOIC-8_150mil  EEPROM ROHS","yes","5","1","0.4964","2.48","https://assets.lcsc.com/images/lcsc/96x96/20190222_onsemi-CAT24C256WI-GT3_C79987_front.jpg"
"C182451","24E1500A","Shenzhen lanson Elec","SMD","","50A SMD Ceramic Fuse 5A 58 SMD  Fuses ROHS","yes","10","10","0.0624","0.62","https://assets.lcsc.com/images/lcsc/96x96/20180914_Shenzhen-lanson-Elec-24E1500A_C182451_front.jpg"
"C3647053","PMV15ENEA","Leiditech","SOT-23",""," SOT-23  MOSFETs ROHS","yes","15","5","0.0695","1.04","https://assets.lcsc.com/images/lcsc/96x96/20220709_Leiditech-PMV15ENEA_C3647053_front.jpg"
"C150470","DMG2305UX-7","Diodes Incorporated","SOT-23(SOT-23-3)","","20V 4.2A 52mΩ@4.5V,4.2A 1.4W 900mV@250uA P Channel SOT-23(SOT-23-3)  MOSFETs ROHS","yes","5","5","0.0819","0.41","https://assets.lcsc.com/images/lcsc/96x96/20180914_Diodes-Incorporated-DMG2305UX-7_C150470_front.jpg"
"C282260","2N7002_R1_00001","PANJIT International","SOT-23","","60V 250mA 5Ω@10V,500mA 350mW 2.5V@250uA N Channel SOT-23  MOSFETs ROHS","yes","20","20","0.025","0.5","https://assets.lcsc.com/images/lcsc/96x96/20180922_PANJIT-International-2N7002-R1-00001_C282260_front.jpg"
"C160404","SM04B-SRSS-TB(LF)(SN)","JST Sales America","-","","1x4P 1 SR/SZ 1mm 4 Copper Alloy -  Wire To Board / Wire To Wire Connector ROHS","yes","5","5","0.1754","0.88","https://assets.lcsc.com/images/lcsc/96x96/20180914_JST-Sales-America-SM04B-SRSS-TB-LF-SN_C160404_front.jpg"
"C429965","12251220ANG0S115001","JILN","Straight,P=2.54mm","","3A Straight Square Pins 2.5mm 6mm -40℃~+105℃ 2 3mm 40 2.54mm Black Brass 2x20P 2.54mm Straight,P=2.54mm  Pin Headers ROHS","yes","5","5","0.1155","0.58","https://assets.lcsc.com/images/lcsc/96x96/20191023_JILN-12251220ANG0S115001_C429965_front.jpg"
"C2685175","PH-00650","Liansheng","SMD,P=2.54mm","","3A Brick nogging Square Pins 2.5mm 6mm -40℃~+105℃ 2 40 2.54mm Black 2x20P 2.54mm SMD,P=2.54mm  Pin Headers ROHS","yes","10","5","0.2999","3","https://assets.lcsc.com/images/lcsc/96x96/20210203_Liansheng-PH-00650_C2685175_front.jpg"
